sequence,Kingdom,Supergroup,Phylum,Class,Subclass,Order,Suborder,Family,Genus,Species,nOccurrences,total_reads,percentage_reads
42219cdab667ede06141ed99b77e6e3c,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,,,,,8,58533,34.7
de07b97b3c8bed8fd34d50acf341fa65,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,,,,,,8,24779,14.7
ac4b602d4fd4d598c0c79053880a6fe7,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,,Skeletonemataceae,,,8,18252,10.8
9d614c067c441d8a9480a1d7f040072e,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyceae,,,,,,8,13423,8
96a177c7d9fe69540ef28119f340ec99,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,,,,,8,12382,7.3
6db05a10707818fbe75a590499339995,Eukaryota,Stramenopiles,Ochrophyta,,,,,,,,7,11328,6.7
ba023c775d2cf34fc8c622062b6178be,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,,Pyrenomonadales,,,,,8,6653,3.9
2323d65b8fb56eefaf44bb37a8fdd372,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Melosirales,,Melosiraceae,,,7,5366,3.2
a713278facfda956576d93f0ebab0918,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,,Chlorellales,,Chlorellaceae,,,8,4448,2.6
96595fee71ccd0455b2967949c8016e3,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,,,,,,,8,2839,1.7
76af76d18ff044c3f5aea9e78a85baf7,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,,,,,,,8,1749,1
248d685efcdb0f4adbebed6463e2fd8d,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,,Mamiellales,,,,,8,1532,0.9
36a4c622d3787881baa568a1ba6046b9,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,,Chattonellales,,Chattonellaceae,,,2,1113,0.7
aa362e133f4a3742c7c0b51823dcefff,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,,Mamiellales,,Mamiellaceae,,,8,1029,0.6
c8beb29f8c766765fc1a8ce124f642af,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,,Chlorodendrales,,Chlorodendraceae,,,6,939,0.6
9b913f388f72540499d96686bf75218f,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenophyceae,Eutreptiales,,Eutreptiaceae,Eutreptiella,Eutreptiella,7,753,0.4
e91fabdf7e0a93eb957c2c4e9e764ae2,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,Prymnesiales,,,,,7,568,0.3
4912ee68947e8529e2eac96d81f4e26a,Unassigned,,,,,,,,,,7,564,0.3
732c5a5744d4481a5a19b2663cefc6ae,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,,,,,,7,442,0.3
2cf85d07a8ecd3fb2b87a9f36708260b,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyceae,Cymbellales,,Cymbellaceae,,,6,378,0.2
f19d778b495d614ed62c00879047c35c,Eukaryota,Archaeplastida,,,,,,,,,8,331,0.2
42624d4c60b33699c28a95ca27129319,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,,Prasiolales,,Koliellaceae,,,7,297,0.2
40450b44940c08498a7bf2d3ff47a849,Eukaryota,Archaeplastida,Chlorophyta,Prasinophyceae,,Pyramimonadales,,Pyramimonadaceae,,,8,226,0.1
6aefa26af43d40a8162db6f7695c1152,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,Phaeocystales,,Phaeocystaceae,,,5,222,0.1
4b45e0fc6276ae0245aea2cf6c2de70e,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,Prymnesiales,,Chrysochromulinaceae,,,4,141,0.1
c979da06b859784bf58df00a55ccc8fb,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,,,,,,,6,111,0.1
de05c74f1a4741be8ed2874fe5013187,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,,Mamiellales,,Bathycoccaceae,,,4,74,0
836c8649bf9c3e71c1fecea4f98ece34,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Cymatosirales,,Cymatosiraceae,,,6,73,0
fa633eb2208ad0b9211b90e1da630ec7,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,,Oltmannsiellopsidales,,Oltmannsiellopsidaceae,Oltmannsiellopsis,Oltmannsiellopsis,6,71,0
e63fe703fb79408e5bc38e35b928ae07,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,,Chlorodendrales,,Chlorodendraceae,Tetraselmis,Tetraselmis,4,60,0
653689c0090cd499534548cb2ac92fde,Eukaryota,Archaeplastida,Chlorophyta,,,,,,,,3,25,0
6ff2b5e928b906c7e6c9160aa8a82c08,Eukaryota,Archaeplastida,Chlorophyta,Prasinophyceae,,Pyramimonadales,,Pyramimonadaceae,Pyramimonas,Pyramimonas,2,10,0
c2d4fce4edcc73b2b54e1561be2dfafb,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,,,,,,,2,9,0
a747673f614170a78208246c62a15d2c,Eukaryota,,,,,,,,,,1,9,0
5c279554584d314b39b8e0bccf615b79,Eukaryota,Hacrobia,Rappemonad,Rappemonad,,,,,,Rappemonad,1,4,0