Day,NOx,PO43,SiO4,N_P,NH4,DON,DOP,DON_DOP,chla,Temperature,Salinity
1,6.84740473,1.609874338,7.96323041,7.65294781,5.47287957,10.1022227,0.56854902,17.76842869,4.890476928,19.77805091,35.16887743
2,6.8829486,1.646186696,7.37266415,6.00810857,3.0075198,9.48585532,0.51042115,18.58436975,3.856601741,19.72889949,35.18430073
3,6.55616657,1.645725535,6.95742597,5.21761297,2.03059233,9.50857853,0.64123525,14.82853374,2.275482077,19.67989073,35.19197161
4,5.44296504,1.651390728,6.18458357,4.37473926,1.78143881,9.83131295,0.58316743,16.85847396,2.434711685,19.51443419,35.19445271
6,5.1211793,1.494574682,4.9946952,4.11805154,1.03355626,9.89676243,0.32344493,30.59798324,1.663879245,19.67882091,35.18870853
8,4.86975797,1.604042696,4.52163661,4.08336463,1.68013324,10.9735098,0.25215338,43.51918548,1.71374113,18.51829023,35.20166076
10,4.37010127,1.604960255,4.67640341,3.93504063,1.94548255,10.603577,0.33377538,31.7686017,1.848085474,18.83056178,35.21302104
12,3.51061621,1.874153623,7.53808164,2.55129308,1.27089895,10.169423,0.16786599,60.58060542,2.114915604,18.81435293,35.2275988
13,2.17023572,1.9705584,9.31216333,1.6731538,1.12681156,8.57933291,0.38414748,22.33343524,2.295291497,19.16138579,35.22590916
14,1.83993444,1.973283072,8.85159714,1.51113909,1.14197075,9.00622243,0.35147759,25.62388807,2.164869085,19.42479514,35.58463722
15,1.54208369,1.87640079,8.47426024,1.37836432,1.04428021,9.07184953,0.47599524,19.05869816,3.066317357,19.94921454,35.60439929
16,0.8336082,1.717856835,8.4456343,0.48983441,0.00785719,9.26043101,0.45728034,20.25110227,4.037029955,19.83930932,35.59790897
17,0.87441381,1.815411983,8.35295574,0.79369401,0.5664678,9.40433129,0.47372561,19.85185309,3.678414079,19.87965512,35.61089738
18,0.48430054,1.680860575,8.11236182,0.29082957,0.00454342,7.80069498,0.28088235,27.77210777,4.764757747,20.20112671,35.59834644
20,0.22785426,1.730408522,8.31834367,0.13162913,-8.21E-05,7.70571437,0.46155226,16.69521525,5.715915529,20.13862957,35.60771392
22,0.06380638,1.671491501,8.35505601,0.04381209,0.00942516,7.65893872,0.35382353,21.64621087,3.794092439,20.09423895,35.60915378
24,0.04687501,1.791527702,8.39009317,1.32507872,2.32704022,8.05985804,0.43690367,18.44767759,4.123622013,19.87125429,35.60832037
26,0.08646882,1.472055768,8.94867921,0.05874018,0,6.61592334,0.54329412,12.17742493,4.456758195,20.04377133,35.61565523
28,0.10705508,1.741597285,8.51963978,0.24859279,0.32589345,,,,4.806852816,19.76925948,35.63166544
30,0.15486264,1.633567956,7.96598788,0.21660557,0.19897728,7.66718638,0.39867647,19.23159989,4.755350543,19.8950432,35.62915983
32,0,1.509257503,6.95932896,0.01180621,0.01781861,6.76886275,0.20776211,32.5798718,5.446323501,19.75436449,35.63527825
34,0.19406538,1.728056555,7.74182381,0.30596953,0.33466728,8.06117972,0.41676471,19.3422802,6.224616339,19.67914075,35.84552025
36,0.03323824,1.596907095,8.07015282,0.08541358,0.10315932,7.46465392,0.41887722,17.82062519,5.730368588,19.76361916,35.87409035
38,0.04797269,1.561677721,6.89880952,0.13743958,0.16666363,8.71042293,0.49379887,17.63961712,5.170602422,18.48201512,35.86430906
40,0.1305951,1.499182128,6.41771025,0.23782793,0.22595228,7.21129706,0.29486689,24.4561097,5.479977597,18.4888365,35.88569607
42,0.04297777,1.402927981,5.00104521,0.12329983,0.13000302,8.1420241,0.32030392,25.41968282,5.003943891,18.59330111,35.89512218
44,0.00326025,1.280092902,3.82821733,0.28995393,0.36790772,7.91808824,0.45739216,17.31137737,7.258841705,18.31879346,35.88706227
46,0.03722925,1.254463975,3.96610772,0.4279868,0.49966477,10.0754412,0.54483333,18.49270331,12.60335509,17.96018729,35.90473644
48,0.02742215,1.109988515,3.4394973,0.72027886,0.77207911,10.8185947,0.57126471,18.93797141,14.74731403,18.13524619,35.90023609
50,0.07457251,1.557059167,3.61139339,0.28694656,0.37222025,,,,21.88715035,18.17045245,35.90636446