day,M1,M2,M3,M4,M5,M6,M7,M8,Pacific
1,19.77805091,19.73180955,19.76291733,19.80706372,19.7493812,19.7485543,19.70045063,19.71063892,19.84925618
2,19.72889949,19.73363645,19.72771917,19.75531819,19.72913776,19.73655194,19.71193278,19.73186846,19.75330104
3,19.67989073,19.74040346,19.70505324,19.72697908,19.66653475,19.69615104,19.63538726,19.66931194,19.10761281
4,19.51443419,19.54905677,19.54509065,19.53770595,19.51313818,19.50025017,19.47586764,19.50208977,19.31044238
6,19.67882091,19.69354044,19.66499251,19.69332946,19.64415085,19.64192165,19.63560575,19.62935124,19.43623066
8,18.51829023,18.51431848,18.4666523,18.48967449,18.48649042,18.50216272,18.47876812,18.49462043,18.36898747
10,18.83056178,18.83410226,18.83410226,18.88533852,18.84399136,18.89838134,18.84347673,18.87637042,18.74711733
12,18.81435293,18.91568055,18.88290256,18.86331308,18.89354817,18.96905868,18.97046688,18.7989415,18.41684304
13,19.16138579,19.26803651,19.25486034,19.16717388,19.19412919,19.28067932,19.26187742,19.19845344,19.17033271
14,19.42479514,19.43135628,19.46372123,19.45888674,19.47240358,19.48422937,19.45591547,19.48753909,19.62439786
15,19.94921454,19.94693385,19.981676,19.9645895,19.97911731,20.01133416,19.97992176,19.98311286,20.69838409
16,19.83930932,19.87598736,19.80417431,19.82401248,19.82317413,19.8556958,19.8131616,19.8204537,19.72930466
17,19.87965512,19.87750791,19.81151425,19.87432588,19.88884142,19.86999631,19.85464875,19.86886979,19.38444384
18,20.20112671,20.20340008,20.1622716,20.17166981,20.19030071,20.1785104,20.17110032,20.17074168,19.73087584
20,20.13862957,20.16544329,20.0556418,20.11537711,20.02681999,20.02614408,19.99301292,20.00632369,19.69374931
22,20.09423895,20.10943766,20.11709272,20.13696973,20.09260387,20.15008831,20.08750592,20.10550793,20.23360599
24,19.87125429,19.8793903,19.86172631,19.86280255,19.84506181,19.84308384,19.84180477,19.83667313,19.77895259
26,20.04377133,20.05537213,20.02012951,20.02395684,20.00780604,19.99506537,19.98620747,19.97814661,19.69298872
28,19.76925948,19.82658471,19.73771583,19.81385925,19.74720657,,,,19.85542477
30,19.8950432,19.90483236,19.9068313,19.96323961,19.94966389,19.96293573,19.92863233,19.94485172,20.00680249
32,19.75436449,19.7592775,19.73196642,19.75467529,19.75897591,19.73369869,19.70838597,19.71483041,19.5628971
34,19.67914075,19.68374647,19.68472421,19.69307989,19.68192586,19.70647718,19.68810875,19.69673941,19.84009076
36,19.76361916,19.7338685,19.71110246,19.73039498,19.69919522,19.68918457,19.67911168,19.66081929,19.56388748
38,18.48201512,18.51441201,18.42524418,18.49326034,18.43645625,18.43847973,18.4152188,18.43690498,18.31087924
40,18.4888365,18.49103688,18.43405136,18.48322102,18.46393941,18.45867834,18.39792308,18.44877277,18.20259448
42,18.59330111,18.60037537,18.52870157,18.55879134,18.52195057,18.50251726,18.52249751,18.54138523,18.20947924
44,18.31879346,18.32207516,18.29840931,18.30484312,18.30666417,18.3036633,18.29130187,18.27314009,18.04927229
46,17.96018729,18.01583329,17.9852771,18.01668915,17.99190958,18.00818896,17.99406412,18.01643563,17.87293638
48,18.13524619,18.13382066,18.13241428,18.13098909,18.1493781,18.13808038,18.14524301,18.14178938,18.40445539
50,18.17045245,18.17533595,18.16471668,18.16576828,18.16256992,18.1577798,18.13746782,18.14725965,18.0575131